Netflix Id,Title,Imdb Rating,Release Year,Netflix Original,Episode Count,Season Count,Maturity,Maturity Level,Maturity Detail,Image,Movie Type,Imdb Id,Last Day To Watch,Genres,Last Fetch
80991326,The Larva Island Movie,,2020,True,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABa7rEHCjYO9yNsHxbG_dHG6fpS2InzZuNR4i45IfqBwMfFOtvS4dsPmq2c7-BtzHDN0TsmYMmhxx8yzf2gC2uwqbCDwk3SSvQ7NeRxtQm4E-DON-8lWtvz7-ZWqEPawkdkyN.jpg?r=b07,Movie,,,,
80991329,Larva Island,,2019,True,26.0,2.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABenynZP4bUMyqVUahpn2qwWN9UCmmOz9f2AFNKb0g76gwZUa2s9UZLBCkEt-oWRTxYIYTDKU3IxUASi7Vfsl7CSGsKdclMe7OHoOOt-R65CFl58eaz2k-maahsDGoGRHvucy.jpg?r=4f7,TV Series,,,,
80993062,The I-Land,,2019,True,7.0,1.0,18+,1000,"violence, sex, language, sexual violence, self-harm",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXRiNRy5kgQlqNmgrLFlpLB0GQByK7YZxeHc17L4B0XOeqZN8XlW46yglUMKDfVGzAuMn9EnOLxx3EDGxvDzyfiaMgMD5RbUG4f5h6QkwJOcAAi8pgFyJR9mHx6hl2C1kQis.jpg?r=022,TV Series,,,,
80994336,DOTA: Dragon's Blood,,2022,True,16.0,2.0,18+,1000,"violence, language",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABY8QZXqmozwzlx99S8lFOhb3hCeOv9CDiUgbTnEAwlFtR7zAVM5M9kKtFiDSLZAsaJjIq55oB4cR4Qzx_WIxnUkVzWaQIK0KkWV_WjH-ma8HryUREVunUyv23Np2TJ5zKKHt.jpg?r=5ce,TV Series,,,,
80994666,We Can Be Heroes,,2020,True,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABRlSPyAKGLvX83cCGoAgr3h4qwEDPTl6bmjByouS2PYYJlBOTgl9thI598FzU5UEbJhS-NREA56XBfNslfzz0lqJa7voDYrHB-I1QWGYCajEU17lBS_z2zIm5GmMHQ0Eqo_l.jpg?r=d2a,Movie,,,,
80997338,Hi Score Girl,,2019,True,24.0,2.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABblYfGP4-gs6dUDmIUmRjyLVEIfsvTSCpYrBWvBoEeMxHkFgKVpCn-nE3SWYWSeYu8U0x-uXnnWCPeZ1DxmXTs0B_PmS9rBvOtqoP6vJOuIXhEQ7rE2vHP8wfY6K3w8wdTXU.jpg?r=980,TV Series,,,,
80997687,Dracula,,2020,True,3.0,1.0,18+,1000,"violence, sex, nudity",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABYksPC_vtpSBKD55TPPXmD-BUm8I0cgiimR4Zt0lKdalyQMHDmT_IBaME6ESU-04RksdL6Toq-3iuc_b42VZMD35s53NB02yYlG6ScD4W8rYGUdLHlxYy39hVIcFkAfg9zif.jpg?r=b02,TV Series,,,,
80998959,Doctors,7.7,2016,False,20.0,1.0,18+,1000,suicide,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABck63FS694K70NFxOWKJUaDUdcnaqppSEI2ZtxA2xPdi09EBWLNXJv6t-gjP8JvhUy8SESDMHJvXrQ3wjiBNFXWwFQh9qUpLbIk.webp?r=0b0,TV Series,tt6015808,,"Comedy,Drama",2023-03-15
81001887,6 Underground,,2019,True,,,18+,1000,"violence, sex, nudity, language",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABX811ZhOaR-jl1k2bLUHejS8H5Zvo6o6bToWUH_MCXivKha_tj58XEzALMePAzrWZuSJf_dQ9uBYDP7Fq4QAsEEjSemeBNMtbFs37DCoIQ5raA-ee-63rC6e_s7SuzhzUfAD.jpg?r=75b,Movie,,,,
81001988,Blood of Zeus,,2020,True,8.0,1.0,18+,1000,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABX-EFkz8Qyn5NBADx-dTYsqzEw44vfn7DADA2bRyQ0aMncrkZy6tQ1gnFJe-qd7wp0dww6Ss-lju3KsVvcxq5nU4-wb3h80n50ZwhhyGlwUpxAq3GHjxayoqwrSMF_Skfts4.jpg?r=058,TV Series,,,,
81002003,Pacific Rim: The Black,,2022,True,14.0,2.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfLYKujjerlzcqHUU0CwEuIJmjOdiHRBtfraGSMWTwGhpl7VpSECnTQVlyVG3prNa1yYm0vteCY1ZseXsNSSoQ8hPja9hu-nmQPtr3Ex7Bpm9PFTt3Ee0IE0Vh3danVedYQr.jpg?r=c27,TV Series,,,,
81002370,Cobra Kai,,2021,True,40.0,4.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABWnSKb9tIPbDmtspRXHFFmmnSgbRlupvpkQl8LYEOV7ViH6RWCPflrrbFf2H4uWZ7kHCVbxAw-FIVEM4SslBFMmM0ndDA0wanC3vvPKkcq9i6wXVRBb3rGRFCWHo0P9zl5Hs.jpg?r=8a7,TV Series,,,,
